event_date,custom_session_id,revenue
2020-11-04,61145313.5871571070_8182193170,11.0
2020-11-04,61145313.5871571070_8182193170,8.0
2020-11-04,61145313.5871571070_8182193170,10.0
2020-11-04,61145313.5871571070_8182193170,55.0
2020-11-04,61145313.5871571070_8182193170,20.0
2020-11-04,61145313.5871571070_8182193170,10.0
2020-11-04,12801942.0744878035_1626555405,3.0
2020-11-04,12801942.0744878035_1626555405,1.0
2020-11-04,12801942.0744878035_1626555405,3.0
2020-11-04,12801942.0744878035_1626555405,3.0
2020-11-04,12801942.0744878035_1626555405,14.0
2020-11-04,12801942.0744878035_1626555405,19.0
2020-11-04,12801942.0744878035_1626555405,3.0
2020-11-04,12801942.0744878035_1626555405,14.0
2020-11-04,23966515.1259247965_9637966453,3.0
2020-11-04,23966515.1259247965_9637966453,12.0
2020-11-04,23966515.1259247965_9637966453,4.0
2020-11-04,24561891.8214764170_9808018008,1.0
2020-11-04,24561891.8214764170_9808018008,20.0
2020-11-04,24561891.8214764170_9808018008,12.0
2020-11-04,44208623.4340317802_6788396911,3.0
2020-11-04,44208623.4340317802_6788396911,3.0
2020-11-04,44208623.4340317802_6788396911,3.0
2020-11-04,76560981.1459804484_4460670740,14.0
2020-11-04,76560981.1459804484_4460670740,16.0
2020-11-04,76560981.1459804484_4460670740,4.0
2020-11-04,1482564.3987701428_2636084897,8.0
2020-11-04,1482564.3987701428_2636084897,60.0
2020-11-04,1482564.3987701428_2636084897,25.0
2020-11-04,1482564.3987701428_2636084897,58.0
2020-11-04,3353526.8991529393_2232688578,14.0
2020-11-04,3353526.8991529393_2232688578,14.0
2020-11-04,3353526.8991529393_2232688578,14.0
2020-11-04,3353526.8991529393_2232688578,14.0
2020-11-04,69008080.7918925068_1602143133,36.0
2020-11-04,69008080.7918925068_1602143133,32.0
2020-11-04,69008080.7918925068_1602143133,2.0
2020-11-04,69008080.7918925068_1602143133,20.0
2020-11-04,90422982.2543893019_9223305061,4.0
2020-11-04,90422982.2543893019_9223305061,32.0
2020-11-04,90422982.2543893019_9223305061,18.0
2020-11-04,90422982.2543893019_9223305061,15.0
2020-11-04,91694984.1982284598_6372939619,36.0
2020-11-04,91694984.1982284598_6372939619,30.0
2020-11-04,91694984.1982284598_6372939619,16.0
2020-11-04,91694984.1982284598_6372939619,26.0
2020-11-04,3641698.1854230862_8307178207,1.0
2020-11-04,3641698.1854230862_8307178207,1.0
2020-11-04,3641698.1854230862_8307178207,1.0
2020-11-04,23966515.1259247965_9637966453,15.0
2020-11-04,23966515.1259247965_9637966453,5.0
2020-11-04,23966515.1259247965_9637966453,18.0
2020-11-04,23966515.1259247965_9637966453,3.0
2020-11-04,23966515.1259247965_9637966453,1.0
2020-11-04,23966515.1259247965_9637966453,28.0
2020-11-04,23966515.1259247965_9637966453,8.0
2020-11-04,5237397.7064940983_5622345526,18.0
2020-11-04,7446712.2726872272_8926518452,63.0
2020-11-04,8690699.3669256403_5669962347,16.0
2020-11-04,53311820.2795082545_5181594052,96.0
2020-11-04,58162644.7624663170_8901811019,24.0
2020-11-04,71770739.4629236606_8101430934,55.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,79305784.7623717578_9781935354,18.0
2020-11-04,5892772292.7134057323_9648179449,16.0
2020-11-04,7445408530.7645836782_198112179,22.0
2020-11-04,5690429.3982669738_5697899016,18.0
2020-11-04,5690429.3982669738_5697899016,5.0
2020-11-04,45333280.3272952755_983674432,60.0
2020-11-04,45333280.3272952755_983674432,24.0
2020-11-04,54064006.4612083157_307359982,23.0
2020-11-05,78979530.8829741899_3902859989,70.0
2020-11-05,1147529.6357293919_1879991968,4.0
2020-11-05,4895144.7355741616_445574698,120.0
2020-11-05,7943950.0170510912_7505422446,63.0
2020-11-05,38686065.3125953359_2859293700,32.0
2020-11-05,66925511.8147430585_1047855381,92.0
2020-11-05,73096267.0337371957_3168721601,14.0
2020-11-05,75838009.2952049398_8945673000,46.0
2020-11-05,90018117.3469988350_3057846355,23.0
2020-11-05,2440964.7151299924_1804957998,16.0
2020-11-05,2440964.7151299924_1804957998,2.0
2020-11-05,31104354.8267743011_1582645800,18.0
2020-11-05,31104354.8267743011_1582645800,36.0
2020-11-05,37723285.2538097035_9351311996,16.0
2020-11-05,37723285.2538097035_9351311996,17.0
2020-11-05,78211977.6758580767_6726934717,2.0
2020-11-05,78211977.6758580767_6726934717,28.0
2020-11-05,6329222.4077008311_4594458413,14.0
2020-11-05,6329222.4077008311_4594458413,24.0
2020-11-05,6329222.4077008311_4594458413,32.0
2020-11-05,3883375.8924071243_9017507499,32.0
2020-11-05,3883375.8924071243_9017507499,17.0
2020-11-05,3883375.8924071243_9017507499,51.0
2020-11-05,3883375.8924071243_9017507499,17.0
2020-11-05,5968218.6334399873_9519094241,10.0
2020-11-05,5968218.6334399873_9519094241,16.0
2020-11-05,5968218.6334399873_9519094241,14.0
2020-11-05,5968218.6334399873_9519094241,12.0
2020-11-05,7016446.9931302905_9757144345,2.0
2020-11-05,7016446.9931302905_9757144345,8.0
2020-11-05,7016446.9931302905_9757144345,7.0
2020-11-05,7016446.9931302905_9757144345,6.0
2020-11-05,74343631.1384953092_7663125941,17.0
2020-11-05,74343631.1384953092_7663125941,18.0
2020-11-05,74343631.1384953092_7663125941,15.0
2020-11-05,74343631.1384953092_7663125941,96.0
2020-11-05,79219690.8483166390_4696257432,5.0
2020-11-05,79219690.8483166390_4696257432,11.0
2020-11-05,79219690.8483166390_4696257432,2.0
2020-11-05,79219690.8483166390_4696257432,48.0
2020-11-05,14010753.6803494599_7094828564,14.0
2020-11-05,14010753.6803494599_7094828564,10.0
2020-11-05,14010753.6803494599_7094828564,18.0
2020-11-05,14010753.6803494599_7094828564,7.0
2020-11-05,14010753.6803494599_7094828564,16.0
2020-11-05,14010753.6803494599_7094828564,24.0
2020-11-05,15492110.1286918774_6945678949,12.0
2020-11-05,15492110.1286918774_6945678949,14.0
2020-11-05,15492110.1286918774_6945678949,2.0
2020-11-05,15492110.1286918774_6945678949,19.0
2020-11-05,15492110.1286918774_6945678949,4.0
2020-11-05,15492110.1286918774_6945678949,14.0
2020-11-05,7422585.0092141768_5276391994,3.0
2020-11-05,7422585.0092141768_5276391994,8.0
2020-11-05,7422585.0092141768_5276391994,3.0
2020-11-05,7422585.0092141768_5276391994,3.0
2020-11-05,7422585.0092141768_5276391994,14.0
2020-11-05,7422585.0092141768_5276391994,3.0
2020-11-05,7422585.0092141768_5276391994,16.0
2020-11-05,3341339703.3960463341_8504183525,2.0
2020-11-05,3341339703.3960463341_8504183525,10.0
2020-11-05,3341339703.3960463341_8504183525,4.0
2020-11-05,3341339703.3960463341_8504183525,2.0
2020-11-05,3341339703.3960463341_8504183525,20.0
2020-11-05,3341339703.3960463341_8504183525,12.0
2020-11-05,3341339703.3960463341_8504183525,10.0
2020-11-05,29329921.1682835265_7700069132,3.0
2020-11-05,29329921.1682835265_7700069132,7.0
2020-11-05,29329921.1682835265_7700069132,8.0
2020-11-05,29329921.1682835265_7700069132,15.0
2020-11-05,29329921.1682835265_7700069132,18.0
2020-11-05,29329921.1682835265_7700069132,10.0
2020-11-05,29329921.1682835265_7700069132,19.0
2020-11-05,29329921.1682835265_7700069132,7.0
2020-11-05,5054327.7063932812_9650056842,11.0
2020-11-05,5054327.7063932812_9650056842,8.0
2020-11-05,5054327.7063932812_9650056842,12.0
2020-11-05,5054327.7063932812_9650056842,9.0
2020-11-05,5054327.7063932812_9650056842,9.0
2020-11-05,5054327.7063932812_9650056842,12.0
2020-11-05,5054327.7063932812_9650056842,11.0
2020-11-05,5054327.7063932812_9650056842,4.0
2020-11-05,5054327.7063932812_9650056842,14.0
2020-11-05,5054327.7063932812_9650056842,12.0
2020-11-05,56795799.9574176777_5102899826,10.0
2020-11-05,56795799.9574176777_5102899826,8.0
2020-11-05,56795799.9574176777_5102899826,44.0
2020-11-05,56795799.9574176777_5102899826,34.0
2020-11-05,56795799.9574176777_5102899826,24.0
2020-11-05,56795799.9574176777_5102899826,10.0
2020-11-05,56795799.9574176777_5102899826,12.0
2020-11-05,56795799.9574176777_5102899826,22.0
2020-11-05,56795799.9574176777_5102899826,34.0
2020-11-05,56795799.9574176777_5102899826,8.0
2020-11-05,56795799.9574176777_5102899826,20.0
